,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
10,Teresaka3,Tess,1046507864334970880,1198300888034676736,/Teresaka3/status/1198300888034676736,2019-11-23 18:02:49,1574532169,"Cada dia moren treballadors en accident laboral, crios de malalties incurable, ciutadans per ganivetades a Barcelona, i també dones víctimes de violència de gènere, i altres no moren però són víctimes de violacions als nostres carrers. Em nego a que siguin ciutadanes invisibles","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Cada dia moren treballadors en accident laboral, crios de malalties incurable, ciutadans per ganivetades a <strong>Barcelona</strong>, i també dones víctimes de <strong>violència</strong> de gènere, i altres no moren però són víctimes de violacions als nostres carrers. Em nego a que siguin ciutadanes invisibles</p>",[],[],False,[],,1,0,0,False,True,1198206384254398466,"[{'screen_name': 'KRLS', 'user_id': '11611502'}]"
11,1denmadrid,denmadrid,430579114,1198299167468269568,/1denmadrid/status/1198299167468269568,2019-11-23 17:55:59,1574531759,"GARRIGA Y LORA: ESPARCIENDO ODIO DESDE 2011, SIN COTIZAR COMO PARÁSITOS FASCISTAS = 
La justicia procesa a dos dirigentes de @vox_es Barcelona por un presunto delito de incitación al odio https://www.eldiario.es/edilive/_8c61  vía @eldiarioes","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">GARRIGA Y LORA: ESPARCIENDO ODIO DESDE 2011, SIN COTIZAR COMO PARÁSITOS FASCISTAS = 
La justicia procesa a dos dirigentes de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2201623465"" dir=""ltr"" href=""/vox_es""><s>@</s><b>vox_es</b></a> <strong>Barcelona</strong> por un presunto <strong>delito</strong> de incitación al odio <a class=""twitter-timeline-link"" data-expanded-url=""https://www.eldiario.es/edilive/_8c61"" dir=""ltr"" href=""https://t.co/UvYioekt9O"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.eldiario.es/edilive/_8c61""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">eldiario.es/edilive/_8c61</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""535707261"" dir=""ltr"" href=""/eldiarioes""><s>@</s><b>eldiarioes</b></a></p>",['https://www.eldiario.es/edilive/_8c61'],[],False,[],,0,0,0,False,False,,[]
12,EsteveJr,Esteve Vallmajor Diez de Andino,629339903,1198299074535075841,/EsteveJr/status/1198299074535075841,2019-11-23 17:55:37,1574531737,"Mònica Lora processada per la propagana electoral de 2011 a Mataró (""primer els de casa"")

La justicia procesa a dos dirigentes de Vox Barcelona por un presunto delito de incitación al odio https://m.eldiario.es/politica/MINUTO-POLITICO-Fin-UP-PSOE_13_966383353_35937.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Mònica Lora processada per la propagana electoral de 2011 a Mataró (""primer els de casa"")<img alt=""👇🏻"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel claro)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447-1f3fb.png"" title=""Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel claro)""/>

La justicia procesa a dos dirigentes de Vox <strong>Barcelona</strong> por un presunto <strong>delito</strong> de incitación al odio <a class=""twitter-timeline-link"" data-expanded-url=""https://m.eldiario.es/politica/MINUTO-POLITICO-Fin-UP-PSOE_13_966383353_35937.html"" dir=""ltr"" href=""https://t.co/nxUHXI2Otr"" rel=""nofollow noopener"" target=""_blank"" title=""https://m.eldiario.es/politica/MINUTO-POLITICO-Fin-UP-PSOE_13_966383353_35937.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">m.eldiario.es/politica/MINUT</span><span class=""invisible"">O-POLITICO-Fin-UP-PSOE_13_966383353_35937.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://m.eldiario.es/politica/MINUTO-POLITICO-Fin-UP-PSOE_13_966383353_35937.html'],[],False,[],,2,2,0,False,False,,[]
13,1denmadrid,denmadrid,430579114,1198298622108012544,/1denmadrid/status/1198298622108012544,2019-11-23 17:53:49,1574531629,"GARRIGA Y LORA, FASCISTAS SIN NADA QUE HACER MÁS QUE ODIAR A LA GENTE---PORQUE SON MUCHO CATÓLIC@S Y XTIAN@S = 
La justicia procesa a dos dirigentes de @vox_es Barcelona por un presunto delito de incitación al odio https://www.eldiario.es/edilive/_8c61  vía @eldiarioes","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">GARRIGA Y LORA, FASCISTAS SIN NADA QUE HACER MÁS QUE ODIAR A LA GENTE---PORQUE SON MUCHO CATÓLIC@S Y XTIAN@S = 
La justicia procesa a dos dirigentes de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2201623465"" dir=""ltr"" href=""/vox_es""><s>@</s><b>vox_es</b></a> <strong>Barcelona</strong> por un presunto <strong>delito</strong> de incitación al odio <a class=""twitter-timeline-link"" data-expanded-url=""https://www.eldiario.es/edilive/_8c61"" dir=""ltr"" href=""https://t.co/UvYioekt9O"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.eldiario.es/edilive/_8c61""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">eldiario.es/edilive/_8c61</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""535707261"" dir=""ltr"" href=""/eldiarioes""><s>@</s><b>eldiarioes</b></a></p>",['https://www.eldiario.es/edilive/_8c61'],[],False,[],,1,1,0,False,False,,[]
14,bodys_natural,Natural Bodys,1071931103865380864,1198297422461489152,/bodys_natural/status/1198297422461489152,2019-11-23 17:49:03,1574531343,El hospital Clínic de Barcelona atiende una agresión sexual cada día http://dlvr.it/RJxNhF pic.twitter.com/3KOxYnwFdU,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El hospital Clínic de <strong>Barcelona</strong> atiende una <strong>agresión</strong> sexual cada día <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/RJxNhF"" dir=""ltr"" href=""https://t.co/kwEhsXTl64"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/RJxNhF""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/RJxNhF</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3KOxYnwFdU"">pic.twitter.com/3KOxYnwFdU</a></p>",['http://dlvr.it/RJxNhF'],[],True,['https://pbs.twimg.com/media/EKE1JvWU0AATBq5.jpg'],,0,0,0,False,False,,[]
15,ARAsocietat,ARA Societat,193770843,1198293181219119104,/ARAsocietat/status/1198293181219119104,2019-11-23 17:32:12,1574530332,Creix el nombre de dones ateses per agressió sexual a Barcelona http://ara.cat/_8bff500e?s=t ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Creix el nombre de dones ateses per <strong>agressió</strong> sexual a <strong>Barcelona</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://ara.cat/_8bff500e?s=t"" dir=""ltr"" href=""https://t.co/DWQmBrH2pw"" rel=""nofollow noopener"" target=""_blank"" title=""http://ara.cat/_8bff500e?s=t""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ara.cat/_8bff500e?s=t</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://ara.cat/_8bff500e?s=t'],[],False,[],,0,2,0,False,False,,[]
16,SergiGili,Sergi Gili,102634839,1198290301066129408,/SergiGili/status/1198290301066129408,2019-11-23 17:20:45,1574529645,Creix l inseguretat a Barcelona... https://twitter.com/jcoscu/status/1198191130241896448 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""ca"">Creix l <strong>inseguretat</strong> a <strong>Barcelona</strong>... <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jcoscu/status/1198191130241896448"" dir=""ltr"" href=""https://t.co/bXC7sGzKGK"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jcoscu/status/1198191130241896448""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jcoscu/status/</span><span class=""invisible"">1198191130241896448</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/jcoscu/status/1198191130241896448'],[],False,[],,0,0,0,False,False,,[]
17,jcmaestrobalbas,Juan Carlos Maestro,931959426,1198255550351511552,/jcmaestrobalbas/status/1198255550351511552,2019-11-23 15:02:40,1574521360,"Una campaña pide que los #hombres reaccionen a los comentarios machistas de sus #amigos. El lema de la campaña, promovida por el Ayuntamiento de #Barcelona, es: “Para parar la #violencia #machista, di lo que piensas” #Educación #Respecto https://lnkd.in/dCAshc4 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Una campaña pide que los <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hombres?src=hash""><s>#</s><b>hombres</b></a> reaccionen a los comentarios machistas de sus <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amigos?src=hash""><s>#</s><b>amigos</b></a>. El lema de la campaña, promovida por el Ayuntamiento de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>, es: “Para parar la <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/violencia?src=hash""><s>#</s><b><strong>violencia</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/machista?src=hash""><s>#</s><b>machista</b></a>, di lo que piensas” <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Educaci%C3%B3n?src=hash""><s>#</s><b>Educación</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Respecto?src=hash""><s>#</s><b>Respecto</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://lnkd.in/dCAshc4"" dir=""ltr"" href=""https://t.co/SpRv9NXC8w"" rel=""nofollow noopener"" target=""_blank"" title=""https://lnkd.in/dCAshc4""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">lnkd.in/dCAshc4</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://lnkd.in/dCAshc4'],"['hombres', 'amigos', 'Barcelona', 'violencia', 'machista', 'Educación', 'Respecto']",False,[],,0,0,0,False,False,,[]
18,SOSParejas,SOS Parejas,801758099925299200,1198389655848140800,/SOSParejas/status/1198389655848140800,2019-11-23 23:55:33,1574553333,El hospital Clínic de Barcelona atiende una agresión sexual cada día http://dlvr.it/RJyFmL pic.twitter.com/T82frzsuYA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El hospital Clínic de <strong>Barcelona</strong> atiende una <strong>agresión</strong> sexual cada día <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/RJyFmL"" dir=""ltr"" href=""https://t.co/niZAdxqyE9"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/RJyFmL""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/RJyFmL</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/T82frzsuYA"">pic.twitter.com/T82frzsuYA</a></p>",['http://dlvr.it/RJyFmL'],[],True,['https://pbs.twimg.com/media/EKGJColUwAA4vwr.jpg'],,0,0,0,False,False,,[]
19,GeekIndignado,GeekIndignado🎗️,170688760,1198373917980839937,/GeekIndignado/status/1198373917980839937,2019-11-23 22:53:01,1574549581,"Lo ocurrido en Barcelona (Urquinaona), las imágenes de las protestas de Chile, Colombia... todas muestran que ya no se huye ante la la violencia policial. Los manifestantes han perdido el miedo. Y ante eso... los malos pierden sí o sí","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo ocurrido en <strong>Barcelona</strong> (Urquinaona), las imágenes de las protestas de Chile, Colombia... todas muestran que ya no se huye ante la la <strong>violencia</strong> policial. Los manifestantes han perdido el miedo. Y ante eso... los malos pierden sí o sí</p>",[],[],False,[],,5,3,0,False,False,,[]
20,seguretat15,Seguretat Privada,1045880078,1198347199870095363,/seguretat15/status/1198347199870095363,2019-11-23 21:06:51,1574543211,El perfil del delincuente en España: robos sin violencia contra personas y por la noche https://cuadernosdeseguridad.com/2019/04/el-perfil-del-delincuente-en-espana-robos-sin-violencia-contra-personas-por-la-noche-y-el-fin-de-semana/ … vía @puntoseguridad @policia @mossos @PLPolinya @CPU_Police @plcastellar @plfranqueses @barcelona_GUB @GDTGuardiaCivil @PLllagostera @PLlloret @pmgirona @Segurevelo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El perfil del delincuente en España: robos sin <strong>violencia</strong> contra personas y por la noche <a class=""twitter-timeline-link"" data-expanded-url=""https://cuadernosdeseguridad.com/2019/04/el-perfil-del-delincuente-en-espana-robos-sin-violencia-contra-personas-por-la-noche-y-el-fin-de-semana/"" dir=""ltr"" href=""https://t.co/tv6mLtyUwJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://cuadernosdeseguridad.com/2019/04/el-perfil-del-delincuente-en-espana-robos-sin-violencia-contra-personas-por-la-noche-y-el-fin-de-semana/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cuadernosdeseguridad.com/2019/04/el-per</span><span class=""invisible"">fil-del-delincuente-en-espana-robos-sin-violencia-contra-personas-por-la-noche-y-el-fin-de-semana/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""914842259287347201"" dir=""ltr"" href=""/puntoseguridad""><s>@</s><b>puntoseguridad</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23791197"" dir=""ltr"" href=""/policia""><s>@</s><b>policia</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""110946158"" dir=""ltr"" href=""/mossos""><s>@</s><b>mossos</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""626526755"" dir=""ltr"" href=""/PLPolinya""><s>@</s><b>PLPolinya</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""821918089583403009"" dir=""ltr"" href=""/CPU_Police""><s>@</s><b>CPU_Police</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1412468370"" dir=""ltr"" href=""/plcastellar""><s>@</s><b>plcastellar</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""419694603"" dir=""ltr"" href=""/plfranqueses""><s>@</s><b>plfranqueses</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""442728468"" dir=""ltr"" href=""/barcelona_GUB""><s>@</s><b><strong>barcelona</strong>_GUB</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""188683472"" dir=""ltr"" href=""/GDTGuardiaCivil""><s>@</s><b>GDTGuardiaCivil</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1577228606"" dir=""ltr"" href=""/PLllagostera""><s>@</s><b>PLllagostera</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1389002371"" dir=""ltr"" href=""/PLlloret""><s>@</s><b>PLlloret</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""412260005"" dir=""ltr"" href=""/pmgirona""><s>@</s><b>pmgirona</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""720471782"" dir=""ltr"" href=""/Segurevelo""><s>@</s><b>Segurevelo</b></a></p>",['https://cuadernosdeseguridad.com/2019/04/el-perfil-del-delincuente-en-espana-robos-sin-violencia-contra-personas-por-la-noche-y-el-fin-de-semana/'],[],False,[],,1,1,0,False,False,,[]
21,I_CSC_Educacio,Educació Intersindical-CSC,1062423899999219712,1198340928379006981,/I_CSC_Educacio/status/1198340928379006981,2019-11-23 20:41:56,1574541716,"Els treballadors del món educatiu som una peça clau per acabar amb la violència masclista.

Volem una educació i una república catalana feministes!

Per això us convoquem el dilluns a 2/4 de 7 (18.30) als Jardinets de Gràcia de Barcelona! #25N2019pic.twitter.com/YwDhITV0pP","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca""><img alt=""✅"" aria-label=""Emoji: Signo grueso blanco de verificación"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2705.png"" title=""Signo grueso blanco de verificación""/>Els treballadors del món educatiu som una peça clau per acabar amb la <strong>violència</strong> masclista.

<img alt=""📢"" aria-label=""Emoji: Megáfono"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Megáfono""/>Volem una educació i una república catalana feministes!

<img alt=""🗓️"" aria-label=""Emoji: Calendario espiralado"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f5d3.png"" title=""Calendario espiralado""/>Per això us convoquem el dilluns a 2/4 de 7 (18.30) als Jardinets de Gràcia de <strong>Barcelona</strong>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/25N2019?src=hash""><s>#</s><b>25N2019</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YwDhITV0pP"">pic.twitter.com/YwDhITV0pP</a></p>",[],['25N2019pic'],True,['https://pbs.twimg.com/media/EKFcuBmXYAMUYa_.jpg'],,47,28,0,False,False,,[]
22,llopratsara,Llorenç Prats,1964527460,1198340805196500993,/llopratsara/status/1198340805196500993,2019-11-23 20:41:26,1574541686,"Diu ""El delito de tráfico de influencias acabó perfeccionándose en septiembre. Figueras logró por fin enchufar a Fandos en un organismo controlado por JxCAT, la Diputación de Barcelona, donde gobierna en coalición con el @psoe""

Innocència apart, els @miqueliceta sempre pel mig!https://twitter.com/MarqMarti/status/1198304558667186176 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Diu ""El <strong>delito</strong> de tráfico de influencias acabó perfeccionándose en septiembre. Figueras logró por fin enchufar a Fandos en un organismo controlado por JxCAT, la Diputación de <strong>Barcelona</strong>, donde gobierna en coalición con el <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""50982086"" dir=""ltr"" href=""/PSOE""><s>@</s><b>psoe</b></a>""

Innocència apart, els <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""74205573"" dir=""ltr"" href=""/miqueliceta""><s>@</s><b>miqueliceta</b></a> sempre pel mig!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/MarqMarti/status/1198304558667186176"" dir=""ltr"" href=""https://t.co/TlZPh20K8y"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/MarqMarti/status/1198304558667186176""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/MarqMarti/stat</span><span class=""invisible"">us/1198304558667186176</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/MarqMarti/status/1198304558667186176'],[],False,[],,2,1,0,False,False,,[]
23,OlgaAbadGil,Olga Abad Gil,1965244914,1198340788847087618,/OlgaAbadGil/status/1198340788847087618,2019-11-23 20:41:22,1574541682,"Contra las violencias machistas, autoorganización feminista. Este #25N colectivos feministas en #Barcelona movilizados para llamar al empoderamiento ""individual y colectivo"" contra la violencia machista #diacontralaviolenciadegenerohttps://www.lavanguardia.com/local/barcelona/20191122/471789598206/catalunya-feministas-marchan-este-lunes-25n-por-el-empoderamiento-contra-la-violencia-machista.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Contra las violencias machistas, autoorganización feminista. Este <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/25N?src=hash""><s>#</s><b>25N</b></a> colectivos feministas en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a> movilizados para llamar al empoderamiento ""individual y colectivo"" contra la <strong>violencia</strong> machista <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/diacontralaviolenciadegenero?src=hash""><s>#</s><b>diacontralaviolenciadegenero</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.lavanguardia.com/local/barcelona/20191122/471789598206/catalunya-feministas-marchan-este-lunes-25n-por-el-empoderamiento-contra-la-violencia-machista.html"" dir=""ltr"" href=""https://t.co/XiX2LAxZIb"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.lavanguardia.com/local/barcelona/20191122/471789598206/catalunya-feministas-marchan-este-lunes-25n-por-el-empoderamiento-contra-la-violencia-machista.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">lavanguardia.com/local/barcelon</span><span class=""invisible"">a/20191122/471789598206/catalunya-feministas-marchan-este-lunes-25n-por-el-empoderamiento-contra-la-violencia-machista.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.lavanguardia.com/local/barcelona/20191122/471789598206/catalunya-feministas-marchan-este-lunes-25n-por-el-empoderamiento-contra-la-violencia-machista.html'],"['25N', 'Barcelona', 'diacontralaviolenciadegenerohttps']",False,[],,1,0,0,False,False,,[]
24,anapferreiro,ANA PEREZ FERREIRO,289594339,1198327871846174720,/anapferreiro/status/1198327871846174720,2019-11-23 19:50:03,1574538603,Incita a la violencia. A mi me han dado ganas de pegarle 2 hostias a los padres de todos esos niñatos consentidos. Menos mal que no vivo en #Barcelona,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Incita a la <strong>violencia</strong>. A mi me han dado ganas de pegarle 2 hostias a los padres de todos esos niñatos consentidos. Menos mal que no vivo en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a></p>",[],['Barcelona'],False,[],,7,0,0,False,True,1198323374407245824,"[{'screen_name': 'PerdigueroSIPEp', 'user_id': '815994028189696004'}]"
25,monSbarcelona,monSBarcelona,710819106,1198321917037445120,/monSbarcelona/status/1198321917037445120,2019-11-23 19:26:23,1574537183,"Ánimo y terca serenidad. El mismo sentir en Barcelona durante semanas. Igual desconcierto , violencia y manipulación todos lados. Creo que ese. “algo” palpita alrededor mundo. Lo q me taladra la mente es: “es hora de viralizar la bondad. Activamente. Manifiestamente. Globalmente.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Ánimo y terca serenidad. El mismo sentir en <strong>Barcelona</strong> durante semanas. Igual desconcierto , <strong>violencia</strong> y manipulación todos lados. Creo que ese. “algo” palpita alrededor mundo. Lo q me taladra la mente es: “es hora de viralizar la bondad. Activamente. Manifiestamente. Globalmente.</p>",[],[],False,[],,1,0,0,False,True,1198305443447279620,"[{'screen_name': 'MariaIsabelMC', 'user_id': '20465419'}]"
26,20m,20minutos.es,31090827,1198316489662717953,/20m/status/1198316489662717953,2019-11-23 19:04:49,1574535889,El hospital Clínic de Barcelona atiende una agresión sexual cada día http://ver.20m.es/6mz921 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El hospital Clínic de <strong>Barcelona</strong> atiende una <strong>agresión</strong> sexual cada día <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://ver.20m.es/6mz921"" dir=""ltr"" href=""https://t.co/FxcSMn0Itb"" rel=""nofollow noopener"" target=""_blank"" title=""http://ver.20m.es/6mz921""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ver.20m.es/6mz921</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://ver.20m.es/6mz921'],[],False,[],,8,17,0,False,False,,[]
27,verne,verne,20085289,1198302709499224066,/verne/status/1198302709499224066,2019-11-23 18:10:03,1574532603,"El vídeo de la campaña del Ayuntamiento de Barcelona anima a los hombres a no quedarse callados: “Para parar la violencia machista, di lo que piensas”. http://ow.ly/MMov30pUwHV ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El vídeo de la campaña del Ayuntamiento de <strong>Barcelona</strong> anima a los hombres a no quedarse callados: “Para parar la <strong>violencia</strong> machista, di lo que piensas”. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://ow.ly/MMov30pUwHV"" dir=""ltr"" href=""https://t.co/eTOyQWk6yY"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/MMov30pUwHV""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/MMov30pUwHV</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://ow.ly/MMov30pUwHV'],[],False,[],,38,19,1,True,False,,[]
28,Teresaka3,Tess,1046507864334970880,1198300888034676736,/Teresaka3/status/1198300888034676736,2019-11-23 18:02:49,1574532169,"Cada dia moren treballadors en accident laboral, crios de malalties incurable, ciutadans per ganivetades a Barcelona, i també dones víctimes de violència de gènere, i altres no moren però són víctimes de violacions als nostres carrers. Em nego a que siguin ciutadanes invisibles","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Cada dia moren treballadors en accident laboral, crios de malalties incurable, ciutadans per ganivetades a <strong>Barcelona</strong>, i també dones víctimes de <strong>violència</strong> de gènere, i altres no moren però són víctimes de violacions als nostres carrers. Em nego a que siguin ciutadanes invisibles</p>",[],[],False,[],,1,0,0,False,True,1198206384254398466,"[{'screen_name': 'KRLS', 'user_id': '11611502'}]"
